ID,Interface aspect,Checklist item
IA-01-01,IA-01 UI chung,Bố cục có cấu trúc rõ ràng; các vùng nội dung được căn lề và đặt khoảng cách nhất quán.
IA-01-02,IA-01 UI chung,Typography nhất quán và dễ đọc; cấp bậc tiêu đề nội dung nhãn và dữ liệu được phân biệt rõ.
IA-01-03,IA-01 UI chung,Màu sắc biểu tượng button và thành phần lặp lại cùng một ý nghĩa trên các màn hình.
IA-01-04,IA-01 UI chung,Primary action nổi bật và dễ phân biệt với secondary action hoặc destructive action.
IA-01-05,IA-01 UI chung,Label icon và thuật ngữ dùng ngôn ngữ quen thuộc với admin EMS; không dùng từ mơ hồ hoặc icon khó hiểu.
IA-01-06,IA-01 UI chung,Khi có hỗ trợ EN/VI thì nhãn và thông điệp được dịch nhất quán; không tràn chữ hoặc vỡ bố cục.
IA-01-07,IA-01 UI chung,Control có thể tương tác trông khác biệt với control disabled; control disabled cho biết lý do khi cần.
IA-01-08,IA-01 UI chung,Thông tin và control quan trọng nhìn thấy được mà không phải tìm kiếm hoặc cuộn không cần thiết.
IA-01-09,IA-01 UI chung,Thông tin được nhóm và sắp xếp để admin có thể quét nhanh danh sách trạng thái và hành động.
IA-01-10,IA-01 UI chung,Trạng thái empty và loading có thông điệp hoặc chỉ báo rõ; không để vùng nội dung trống không giải thích.
IA-01-11,IA-01 UI chung,Thông tin không chỉ được truyền đạt bằng màu; chữ trạng thái và control đủ tương phản để dễ đọc.
IA-01-12,IA-01 UI chung,Văn bản dài trong bảng card hoặc field được xuống dòng hoặc ellipsis hợp lý và không làm vỡ bố cục.
IA-01-13,IA-01 UI chung,Trên mobile và tablet bố cục vẫn dùng được; bảng rộng cuộn trong vùng bảng thay vì tràn màn hình.
IA-01-14,IA-01 UI chung,Ở mức zoom 200% hoặc khi tăng cỡ chữ nội dung và control vẫn đọc và thao tác được; không bị che cắt hoặc buộc cuộn ngang toàn trang ngoài vùng bảng.
IA-02-01,IA-02 Forms,Mỗi input có label gần trường và label vẫn nhận biết được trong khi người dùng nhập.
IA-02-02,IA-02 Forms,Trường bắt buộc được đánh dấu rõ trước khi submit; định dạng hoặc ví dụ dữ liệu được nêu khi cần.
IA-02-03,IA-02 Forms,Placeholder chỉ dùng làm ví dụ hoặc gợi ý; không thay thế label chính.
IA-02-04,IA-02 Forms,Trường liên quan được nhóm theo ý nghĩa; form dài có section heading rõ.
IA-02-05,IA-02 Forms,Thứ tự Tab và thứ tự nhập liệu hợp lý theo luồng tác vụ từ trên xuống dưới.
IA-02-06,IA-02 Forms,Lỗi validation xuất hiện gần đúng trường gây lỗi và trường lỗi được nhận biết rõ.
IA-02-07,IA-02 Forms,Thông báo lỗi nói rõ lỗi gì và cách sửa; không chỉ dùng màu hoặc mã lỗi kỹ thuật.
IA-02-08,IA-02 Forms,Form ngăn dữ liệu không hợp lệ sớm khi có thể thay vì chỉ báo sau khi submit.
IA-02-09,IA-02 Forms,Dữ liệu đã nhập được giữ lại khi validation hoặc thao tác Save Draft thất bại.
IA-02-10,IA-02 Forms,Dropdown có thể mở đóng chọn và tìm kiếm option rõ ràng; lựa chọn đã chọn được hiển thị chính xác.
IA-02-11,IA-02 Forms,Ngày giờ kết thúc không thể sớm hơn ngày giờ bắt đầu.
IA-02-12,IA-02 Forms,Mở đăng ký phải sớm hơn đóng đăng ký; đóng đăng ký không muộn hơn thời điểm sự kiện kết thúc.
IA-02-13,IA-02 Forms,Mở check-in phải sớm hơn đóng check-in; rule thời gian check-in được validation hoặc giải thích rõ.
IA-02-14,IA-02 Forms,Input số chỉ nhận giá trị hợp lệ theo giới hạn; số 0 số âm chữ và giá trị vượt giới hạn được xử lý rõ ràng.
IA-02-15,IA-02 Forms,Toggle và field điều kiện thay đổi theo mapping dễ hiểu; trường bắt buộc theo điều kiện được validation rõ.
IA-02-16,IA-02 Forms,Cấu hình role nêu rõ tên role mô tả số lượng tối đa và số role tối đa mỗi người; dữ liệu lưu lại đúng sau Save Draft.
IA-02-17,IA-02 Forms,Upload ảnh nêu rõ loại file kích thước hoặc tỉ lệ cho phép; có preview loading progress và lỗi upload.
IA-02-18,IA-02 Forms,Rich-text editor có control định dạng dễ hiểu; nội dung đã định dạng không bị che mất và có thể kiểm tra trước.
IA-02-19,IA-02 Forms,Save Draft Publish Preview và Cancel khác biệt rõ về mục đích; Publish không xảy ra vô ý.
